disaster_subtype,event_name,start_date,end_date,affected_states,magnitude_kph,total_damage_adjusted
Tornado,2000_jan_storm1,2000/1/2,2000/1/4,Kentucky,,382547
Storm (General),2000_jan_storm2,2000/1/22,2000/1/25,"Alabama, Georgia, Louisiana, Massachusetts, New York, North Carolina, Pennsylvania, South Carolina, Tennessee, Virginia",,637579
Tropical cyclone,Leslie,2000/10/4,2000/10/4,Florida,,398942
Storm (General),2000_dec_storm1,2000/12/16,2000/12/17,"Alabama, Connecticut, Florida, Georgia, Massachusetts, Mississippi, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island",,910827
Tornado,2000_mar_storm1,2000/3/28,2000/3/28,Texas,,819745
Tornado,2000_may_storm1,2000/5/26,2000/5/26,"Iowa, Wisconsin",,51917
Tornado,2000_jul_storm1,2000/7/25,2000/7/25,Minnesota,,14755
Tornado,2000_sep_storm1,2000/9/20,2000/9/20,Ohio,,163949
Tornado,2001_oct_storm1,2001/10/11,2001/10/11,Texas,,7086
Tornado,2001_oct_storm2,2001/10/12,2001/10/12,Texas,,12401
Tornado,2001_feb_storm1,2001/2/24,2001/2/24,Mississippi,,442897
Tornado,2001_mar_storm1,2001/3/29,2001/3/29,Florida,,3189
Tornado,2001_apr_storm1,2001/4/10,2001/4/11,"Illinois, Iowa, Kansas, Missouri, Nebraska, Oklahoma, Texas, Washington",,40746
Tornado,2001_jun_storm1,2001/6/18,2001/6/18,Wisconsin,,17716
Tropical cyclone,Allison,2001/6/5,2001/6/17,"Florida, Georgia, Iowa, Louisiana, Mississippi, New Jersey, North Carolina, Pennsylvania, South Carolina, Texas, Virginia",,10629520
Tornado,2001_aug_storm1,2001/8/17,2001/8/17,Nebraska,,5315
Tornado,2001_sep_storm1,2001/9/24,2001/9/24,Maryland,,53148
Storm (General),2002_jan_storm1,2002/1/30,2002/2/8,"Indiana, Kansas, Missouri, New York, Ohio, Oklahoma, Texas, Washington",,697571
Tropical cyclone,Lili,2002/10/3,2002/10/3,Louisiana,,3487855
Tornado,2002_nov_storm1,2002/11/5,2002/11/10,"Alabama, Arkansas, Georgia, Indiana, Kentucky, Mississippi, Ohio, Pennsylvania, South Carolina, Tennessee",200,1220749
Blizzard/Winter storm,2002_dec_storm1,2002/12/4,2002/12/5,"Kentucky, Maryland, Missouri, New Jersey, New York, North Carolina, Pennsylvania, South Carolina, Tennessee, Virginia, Washington",,785639
Storm (General),2002_mar_storm1,2002/3/19,2002/3/19,"Arkansas, Kentucky, Mississippi, North Carolina, Tennessee, Texas, Virginia, Washington, West Virginia",,349657
Tornado,2002_apr_storm1,2002/4/21,2002/4/21,Illinois,,6976
Tornado,2002_apr_storm2,2002/4/27,2002/5/3,"Georgia, Illinois, Indiana, Kansas, Kentucky, Maryland, Mississippi, Missouri, New York, Ohio, Pennsylvania, Tennessee, Virginia, West Virginia",290,3836640
Tropical cyclone,Isidore,2002/9/26,2002/9/27,"Alabama, Louisiana, Mississippi, Tennessee",105,523178
Tornado,2002_sep_storm1,2002/9/5,2002/9/5,Wisconsin,,34879
Blizzard/Winter storm,2003_feb_storm1,2003/2/14,2003/2/18,"Connecticut, Delaware, Illinois, Iowa, Kentucky, Maryland, Massachusetts, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, Tennessee, Vermont, Virginia, West Virginia",,341043
Storm (General),2003_feb_storm2,2003/2/15,2003/2/23,"Alabama, Connecticut, Delaware, Florida, Georgia, Kentucky, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Tennessee, Vermont, Virginia, West Virginia",,682087
Tornado,2003_mar_storm1,2003/3/18,2003/3/20,"Alabama, Georgia, North Carolina, South Carolina, Tennessee",,8526086
Blizzard/Winter storm,2003_mar_storm2,2003/3/20,2003/3/20,"Colorado, Wyoming",,42630
Storm (General),2003_apr_storm1,2003/4/4,2003/4/8,"Alabama, Illinois, Indiana, Louisiana, Michigan, Mississippi, Missouri, Nebraska, New York, Pennsylvania, Tennessee, Texas, Wisconsin",,3580956
Tornado,2003_may_storm1,2003/5/4,2003/5/10,"Alabama, Arkansas, Colorado, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Mississippi, Missouri, Nebraska, North Carolina, South Carolina, South Dakota, Tennessee, Texas, Washington",,6820869
Tropical cyclone,Bill,2003/6/30,2003/6/30,"Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina",95,85261
Tropical cyclone,Isabel,2003/9/18,2003/9/22,"Delaware, Maryland, New Jersey, North Carolina, Pennsylvania, Virginia, West Virginia",170,5746582
Blizzard/Winter storm,2004_jan_storm1,2004/1/15,2004/1/29,"Georgia, Illinois, Indiana, Iowa, Kansas, Maine, Maryland, Minnesota, Missouri, Nebraska, New Jersey, New York, North Carolina, Ohio, Oklahoma, Pennsylvania, South Carolina, Virginia, West Virginia",,99645
Tornado,2004_mar_storm1,2004/3/4,2004/3/7,"Arkansas, Kansas, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Texas, Virginia",,498226
Hail,2004_may_storm1,2004/5/21,2004/5/27,"Delaware, Illinois, Indiana, Iowa, Kansas, Kentucky, Maryland, Michigan, Missouri, Nebraska, New York, North Carolina, Ohio, Oklahoma, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, Washington, West Virginia, Wisconsin",,1826830
Lightning/Thunderstorms,2004_may_storm2,2004/5/29,2004/6/2,"Alabama, Arkansas, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Michigan, Mississippi, Missouri, Nebraska, Nevada, Ohio, Oklahoma, South Dakota, Tennessee, Texas, Virginia, Washington, West Virginia, Wyoming",,1162528
Lightning/Thunderstorms,2004_jun_storm1,2004/6/28,2004/6/28,"Colorado, Georgia, Louisiana, Mississippi, South Carolina, Texas, Washington",,282
Tropical cyclone,Charley,2004/8/13,2004/8/13,"Florida, North Carolina, South Carolina, Washington",230,26572079
Tropical cyclone,Gaston,2004/8/29,2004/8/30,"North Carolina, South Carolina, Virginia",,103797
Tropical cyclone,Ivan,2004/9/15,2004/9/16,"Alabama, Florida, Georgia, Louisiana, Maryland, Mississippi, New Jersey, North Carolina, Ohio, Pennsylvania, Tennessee, Virginia, West Virginia",,29893589
Tropical cyclone,Jeanne,2004/9/25,2004/9/26,Florida,,13286040
Tropical cyclone,Frances,2004/9/5,2004/9/5,"Florida, North Carolina, Ohio, South Carolina",,18268304
Tornado,2004_sep_storm1,2004/9/8,2004/9/8,Virginia,,3488
Blizzard/Winter storm,2005_jan_storm1,2005/1/22,2005/1/24,"Connecticut, Iowa, Maryland, Massachusetts, New York, Ohio, Wisconsin",,562190
Tropical cyclone,Wilma,2005/10/24,2005/10/24,Florida,165,22969497
Lightning/Thunderstorms,2005_apr_storm1,2005/4/6,2005/4/8,Mississippi,,562190
Tropical cyclone,Dennis,2005/7/10,2005/7/10,"Florida, Georgia",,3581957
Tropical cyclone,Katrina,2005/8/29,2005/9/19,"Alabama, Florida, Georgia, Louisiana, Mississippi",280,200782317
Tropical cyclone,Rita,2005/9/23,2005/10/1,"Louisiana, Mississippi, Texas",280,25700137
Blizzard/Winter storm,2006_oct_storm1,2006/10/12,2006/10/14,New York,,466818
Tornado,2006_nov_storm1,2006/11/15,2006/11/16,"Alabama, Arizona, Arkansas, Louisiana, Maryland, Mississippi, North Carolina, Pennsylvania, South Dakota, Texas",,147826
Tornado,2006_dec_storm1,2006/12/25,2006/12/25,Florida,193,140045
Blizzard/Winter storm,2006_dec_storm2,2006/12/27,2006/12/31,Kansas,,560182
Tornado,2006_mar_storm1,2006/3/11,2006/3/13,"Arkansas, Illinois, Indiana, Kansas, Missouri, Oklahoma",202,1867273
Hail,2006_apr_storm1,2006/4/2,2006/4/3,"Arkansas, Illinois, Indiana, Iowa, Kentucky, Missouri, Oklahoma, Tennessee",,933637
Hail,2006_apr_storm2,2006/4/6,2006/4/8,"Alabama, Georgia, Indiana, Kansas, Kentucky, Ohio, Tennessee",,2489698
Lightning/Thunderstorms,2006_may_storm1,2006/5/1,2006/5/7,Texas,,700227
Tropical cyclone,Ernesto,2006/8/2,2006/9/7,"North Carolina, South Carolina, Virginia",119,51132
Storm (General),2007_jan_storm1,2007/1/12,2007/1/17,"California, Georgia, Illinois, Iowa, Kansas, Maine, Michigan, Missouri, New York, Oklahoma, South Carolina, Texas",,756451
Storm (General),2007_dec_storm1,2007/12/3,2007/12/7,"Oregon, Washington",160,1512903
Storm (General),2007_dec_storm2,2007/12/9,2007/12/11,"Connecticut, Illinois, Iowa, Kansas, Michigan, Missouri, Nebraska, New Jersey, New York, Oklahoma, Pennsylvania, Rhode Island",,756451
Blizzard/Winter storm,2007_feb_storm2,2007/2/14,2007/2/15,"New Jersey, New York, Ohio, Pennsylvania, Vermont",64,211806
Tornado,2007_feb_storm1,2007/2/2,2007/2/2,Florida,265,196677
Storm (General),2007_feb_storm3,2007/2/23,2007/2/25,"Arkansas, Iowa, Texas",,453871
Tornado,2007_mar_storm1,2007/3/1,2007/3/2,"Alabama, Georgia, Minnesota, Missouri",,907742
Storm (General),2007_apr_storm1,2007/4/13,2007/4/17,"Connecticut, Delaware, Georgia, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Texas, Vermont, Virginia",,3025805
Storm (General),2007_may_storm2,2007/5/21,2007/5/25,"Iowa, Kansas, Minnesota, Texas, Wisconsin",128,453871
