,Company name Latin alphabet,Ticker symbol,State or province (in US or Canada),DUO - Number of employees,GUO - Number of employees,"Model data - Global parent number of employees
th","Number of employees
2024","Number of employees
2023","Number of employees
2022","Number of employees
2021","Number of employees
2020","Number of employees
2019","Number of employees
2018","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014"
1.,"AMAZON.COM, INC.",AMZN,WA,"1,576,000","1,576,000","1,556","1,556,000","1,525,000","1,541,000","1,608,000","1,298,000","798,000","647,500","566,000","341,400","230,800","154,100"
2.,WALMART INC.,WMT,AR,n.a.,n.a.,"2,100","2,100,000","2,100,000","2,100,000","2,300,000","2,300,000","2,200,000","2,200,000","2,300,000","2,300,000","2,300,000","2,200,000"
3.,APPLE INC.,AAPL,CA,"166,000","166,000",164,"164,000","161,000","164,000","154,000","147,000","137,000","132,000","123,000","116,000","110,000","92,600"
4.,ALPHABET INC.,GOOGL,CA,"190,820","190,820",183,"183,323","182,502","190,234","156,500","135,301","118,899","98,771","80,110","72,053","61,814","53,600"
5.,CVS HEALTH CORPORATION,CVS,RI,"300,000","300,000",300,"300,000","300,000","300,000","300,000","300,000","290,000","295,000","332,000","250,000","243,000","217,800"
6.,MCKESSON CORPORATION,MCK,TX,"45,000","45,000",45,"45,000","51,000","51,000","75,000","76,000","80,000","80,000","78,000","78,000","68,000","70,400"
7.,EXXON MOBIL CORPORATION,XOM,TX,"58,000","58,000",61,"61,000","62,000","62,000","63,000","72,000","74,900","71,000","69,600","71,100","73,500","75,300"
8.,"CENCORA, INC.",COR,PA,"51,000","51,000",42,"42,000","42,000","39,000","38,000","21,000","22,000","21,000","20,000","18,000","16,500","13,000"
9.,UNITEDHEALTH GROUP INC.,UNH,MN,"400,000","400,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10.,MICROSOFT CORPORATION,MSFT,WA,"228,000","228,000",228,"228,000","221,000","221,000","181,000","163,000","144,000","131,000","124,000","114,000","118,000","128,000"
11.,COSTCO WHOLESALE CORPORATION,COST,WA,"341,000","341,000",341,"333,000","316,000","304,000","288,000","273,000","254,000","245,000","231,000","218,000","205,000","195,000"
12.,"CARDINAL HEALTH, INC.",CAH,OH,"57,700","57,700",58,"48,900","48,000","46,500","47,300","48,000","49,500","50,200","40,400","37,300","34,500","34,000"
13.,NVIDIA CORPORATION,NVDA,CA,n.a.,n.a.,36,"36,000","29,600","26,196","22,473","18,975","13,775","13,277","11,528","10,299","9,227","9,228"
14.,"META PLATFORMS, INC.",META,CA,"78,865","78,865",74,"74,067","67,317","86,482","71,970","58,604","44,942","35,587","25,105","17,048","12,691","9,199"
15.,FORD MOTOR COMPANY,F,MI,"169,000","169,000",171,"171,000","177,000","173,000","183,000","186,000","190,000","199,000","202,000","201,000","199,000","187,000"
16.,GENERAL MOTORS COMPANY,GM,MI,"156,000","156,000",162,"162,000","163,000","167,000","157,000","155,000","164,000","173,000","180,000","225,000","215,000","216,000"
17.,CHEVRON CORPORATION,CVX,CA,"43,039","43,039",45,"45,298","45,600","43,846","42,595","47,736","48,200","48,600","51,900","55,200","61,500","64,700"
18.,"THE HOME DEPOT, INC.",HD,GA,n.a.,n.a.,470,"470,100","463,100","471,600","490,600","504,800","415,700","413,000","413,000","406,000","385,000","371,000"
19.,CENTENE CORP,CNC,MO,"60,500","60,500",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
20.,THE KROGER CO.,KR,OH,"409,000","409,000",409,"409,000","414,000","430,000","420,000","465,000","435,000","453,000","449,000","443,000","431,000","400,000"
21.,"ELEVANCE HEALTH, INC.",ELV,IN,"104,200","104,200",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22.,VERIZON COMMUNICATIONS INC,VZ,NY,"89,900","89,900",100,"99,600","105,400","117,100","118,400","132,200","135,000","144,500","155,400","160,900","177,700","177,300"
23.,MARATHON PETROLEUM CORPORATION,MPC,OH,"18,500","18,500",18,"18,300","18,200","17,800","17,700","57,900","60,910","60,350","43,800","44,460","45,440","45,340"
24.,PHILLIPS 66,PSX,TX,"12,600","12,600",13,"13,200","14,000","13,000","14,000","14,300","14,500","14,200","14,600","14,800","14,000","14,000"
25.,AT&T INC.,T,TX,"133,030","133,030",141,"140,990","149,900","160,700","203,000","230,000","246,000","268,000","252,000","268,000","281,450","253,000"
26.,COMCAST CORPORATION,CMCSA,PA,"179,000","179,000",182,"182,000","186,000","186,000","189,000","168,000","190,000","184,000","164,000","159,000","153,000","139,000"
27.,VALERO ENERGY CORPORATION,VLO,TX,"9,785","9,785",10,"9,922","9,908","9,743","9,813","9,964","10,222","10,261","10,015","9,996","10,103","10,065"
28.,DELL TECHNOLOGIES INC.,DELL,TX,-,-,108,"108,000","120,000","133,000","133,000","158,000","165,000","157,000","145,000","138,000","101,800","98,300"
29.,HUMANA INC.,HUM,KY,"65,680","65,680",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30.,TARGET CORP,TGT,MN,"440,000","440,000",440,"440,000","415,000","440,000","450,000","409,000","368,000","360,000","345,000","323,000","341,000","347,000"
31.,"TESLA, INC.",TSLA,TX,"134,785","134,785",126,"125,665","140,473","127,855","99,290","70,757","48,016","48,817","37,543","30,025","13,058","10,161"
32.,WALT DISNEY COMPANY (THE),DIS,CA,"231,000","231,000",233,"233,000","225,000","220,000","190,000","203,000","223,000","201,000","199,000","195,000","185,000","180,000"
33.,JOHNSON & JOHNSON,JNJ,NJ,"138,200","138,200",138,"138,100","131,900","152,700","141,700","134,500","132,200","135,100","134,000","126,400","127,100","126,500"
34.,PEPSICO INC,PEP,NY,"306,000","306,000",319,"319,000","318,000","315,000","309,000","291,000","267,000","267,000","263,000","264,000","263,000","271,000"
35.,THE BOEING COMPANY,BA,VA,"182,000","182,000",172,"172,000","171,000","156,000","142,000","141,000","161,100","153,000","140,800","150,500","161,400","165,500"
36.,UNITED PARCEL SERVICE INC,UPS,GA,"460,000","460,000",490,"490,000","500,000","536,000","534,000","543,000","495,000","481,000","454,000","434,000","444,000","270,000"
37.,RTX CORPORATION,RTX,VA,"180,000","180,000",186,"186,000","185,000","182,000","174,000","181,000","243,200","240,000","205,000","202,000","197,000","211,000"
38.,"T-MOBILE US, INC.",TMUS,WA,"75,000","198,079",57,"70,000","67,000","71,000","75,000","75,000","53,000","52,000","51,000","50,000","50,000","45,000"
39.,BERKSHIRE HATHAWAY INC.,BRKB,NE,"392,400","392,400",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
40.,FEDEX CORPORATION,FDX,TN,"440,000","440,000",440,"505,000","529,000","547,000","470,000","399,000","239,000","227,000","169,000","168,000","166,000","162,000"
41.,"LOWE'S COMPANIES, INC.",LOW,NC,n.a.,n.a.,270,"270,000","284,000","307,000","340,000","340,000","320,000","300,000","310,000","290,000","270,000","266,000"
