country,sect,t,upstreamness,source
USA,1,2014,2.7459035,adb
USA,1,2015,2.728108569,adb
USA,1,2016,2.692089879,adb
USA,1,2017,2.708568127,adb
USA,1,2018,2.807531199,adb
USA,1,2019,2.759580555,adb
USA,1,2020,2.62152206,adb
USA,1,2021,2.611483616,adb
USA,1,2022,2.61248701,adb
USA,1,2023,2.540924858,adb
USA,1,2024,2.544807155,adb
USA,2,2014,2.716266131,adb
USA,2,2015,2.537055715,adb
USA,2,2016,2.519832167,adb
USA,2,2017,2.587341636,adb
USA,2,2018,2.601970326,adb
USA,2,2019,2.563242974,adb
USA,2,2020,2.692394393,adb
USA,2,2021,2.692128335,adb
USA,2,2022,2.786269816,adb
USA,2,2023,2.64756436,adb
USA,2,2024,2.595391358,adb
USA,3,2014,1.745505638,adb
USA,3,2015,1.731686912,adb
USA,3,2016,1.71237099,adb
USA,3,2017,1.638078687,adb
USA,3,2018,1.830852279,adb
USA,3,2019,1.801990281,adb
USA,3,2020,1.540957816,adb
USA,3,2021,1.538450511,adb
USA,3,2022,1.553508185,adb
USA,3,2023,1.535715549,adb
USA,3,2024,1.540123533,adb
USA,4,2014,2.173902021,adb
USA,4,2015,2.165964463,adb
USA,4,2016,2.164598157,adb
USA,4,2017,2.123734988,adb
USA,4,2018,2.1166943,adb
USA,4,2019,2.101996864,adb
USA,4,2020,2.17549205,adb
USA,4,2021,2.159708395,adb
USA,4,2022,2.190448412,adb
USA,4,2023,2.178608705,adb
USA,4,2024,2.13753905,adb
USA,5,2014,1.755015052,adb
USA,5,2015,1.732470554,adb
USA,5,2016,1.737291369,adb
USA,5,2017,1.740541845,adb
USA,5,2018,1.748478582,adb
USA,5,2019,1.736787464,adb
USA,5,2020,1.371285712,adb
USA,5,2021,1.313856499,adb
USA,5,2022,1.31357117,adb
USA,5,2023,1.302674175,adb
USA,5,2024,1.266232459,adb
USA,6,2014,2.755499909,adb
USA,6,2015,2.726932483,adb
USA,6,2016,2.721581178,adb
USA,6,2017,2.715005848,adb
USA,6,2018,2.736153588,adb
USA,6,2019,2.681733794,adb
USA,6,2020,2.617355154,adb
USA,6,2021,2.653011288,adb
USA,6,2022,2.681700316,adb
USA,6,2023,2.63495593,adb
USA,6,2024,2.61057263,adb
USA,7,2014,2.263692449,adb
USA,7,2015,2.233717572,adb
USA,7,2016,2.213958201,adb
USA,7,2017,2.26606558,adb
USA,7,2018,2.289382338,adb
USA,7,2019,2.308547098,adb
USA,7,2020,2.002772495,adb
USA,7,2021,2.011490015,adb
USA,7,2022,2.052516496,adb
USA,7,2023,1.998944591,adb
USA,7,2024,2.002789479,adb
USA,8,2014,2.308866641,adb
USA,8,2015,2.278875243,adb
USA,8,2016,2.243205329,adb
USA,8,2017,2.34977695,adb
USA,8,2018,2.356221724,adb
USA,8,2019,2.312146134,adb
USA,8,2020,2.271680857,adb
USA,8,2021,2.274178873,adb
