country,sect,t,upstreamness,downstreamness,u_n,u_d,d_n,d_d,source
USA,1.0,2000,2.58242689904604,2.24380106479332,255018.513842427,98751.4937737956,96618.9105487413,43060.3728934593,ADB
USA,1.0,2007,2.64997560956576,2.31352030979646,373660.593087032,141005.29519525,122560.755023412,52975.8716638172,ADB
USA,1.0,2008,2.6255199899597,2.32130940582359,407937.135984237,155373.845007556,145544.239785363,62699.1987454273,ADB
USA,1.0,2009,2.56711249754742,2.22013573593346,359086.37592985,139879.485715143,134568.371726117,60612.6776611419,ADB
USA,1.0,2010,2.64494444334972,2.20539093434468,424021.488408572,160313.948928003,132889.340464139,60256.5914254229,ADB
USA,1.0,2011,2.67490224492611,2.18408584386631,527660.779003139,197263.574773259,143460.488840164,65684.4552346932,ADB
USA,1.0,2012,2.72580602276999,2.25797399113601,516138.38226246,189352.572395432,145460.183375725,64420.6638104553,ADB
USA,1.0,2013,2.72378755234241,2.16243874158381,607600.814447171,223072.02847911,156811.047960538,72515.833602614,ADB
USA,1.0,2014,2.74590350020594,2.22007488949132,587311.821944707,213886.548416818,160982.312013043,72512.1088369809,ADB
USA,1.0,2015,2.72810856935643,2.20168812997404,525416.887334795,192593.833411382,147774.614473745,67118.7769339007,ADB
USA,1.0,2016,2.69208987948297,2.15564548961982,509690.189929676,189328.816178888,144427.892179853,66999.835026364,ADB
USA,1.0,2017,2.70856812702341,2.32074057115193,474493.286121825,175182.333937921,160831.654082858,69301.8668618471,ADB
USA,1.0,2018,2.8075311989145,2.33555032568826,496814.621740039,176957.827550457,177391.423980103,75952.7302961576,ADB
USA,1.0,2019,2.75958055500907,2.41044366104028,442773.037480282,160449.397527672,189166.272406315,78477.7821045096,ADB
USA,1.0,2020,2.62152206014748,2.35166634146769,428806.545346358,163571.595244266,207257.456089581,88132.1692771391,ADB
USA,1.0,2021,2.61148361617118,2.20147472138453,588004.187551105,225160.971299987,220558.09042679,100186.519647193,ADB
USA,1.0,2022,2.61248701017173,2.1360397821201,752254.590252068,287945.772485437,259239.296657509,121364.451555394,ADB
USA,1.0,2023,2.5409248581287,2.12804453451986,694587.612309431,273360.154704051,276126.624665019,129756.036673979,ADB
USA,1.0,2024,2.54480715496793,2.10758160235273,631375.24712187,248103.37627718,233720.063843608,110894.906077516,ADB
USA,2.0,2000,2.95929085983918,1.93388773904444,327130.172937185,110543.433691058,51951.5115514097,26863.7679956953,ADB
USA,2.0,2007,2.85944497221031,1.66392960879292,895756.53976415,313262.380801035,135191.15392255,81248.1208388516,ADB
USA,2.0,2008,2.91211866295119,1.62252686993319,1175364.10338433,403611.335739045,150267.463717654,92613.2358743879,ADB
USA,2.0,2009,2.5675892128473,1.4260990354438,749432.251154904,291881.679283046,138148.255373323,96871.431744803,ADB
USA,2.0,2010,2.86100736295221,1.53645563539106,951348.136831255,332522.086154151,112516.189755202,73231.0046339634,ADB
USA,2.0,2011,2.92178695065023,1.54732679419442,1167695.52408049,399651.153148119,139161.132273337,89936.4845199284,ADB
USA,2.0,2012,2.64999466987542,1.5460898581369,1091974.11805951,412066.533745459,247193.888965435,159883.261418785,ADB
USA,2.0,2013,2.71578255690146,1.56953743159349,1200026.78379217,441871.452757738,256353.346143796,163330.5080743,ADB
USA,2.0,2014,2.71626613100673,1.62097006801649,1234478.41336839,454476.238273036,284303.789105305,175391.140598416,ADB
USA,2.0,2015,2.53705571457179,1.5886751350067,788203.661111157,310676.528144039,231002.869378653,145405.982814528,ADB
USA,2.0,2016,2.51983216708588,1.56773721499084,620066.184385882,246074.398321128,176770.188333397,112754.986386178,ADB
USA,2.0,2017,2.58734163554141,1.82174438868989,715506.914625042,276541.336789999,282323.82484007,154974.444599829,ADB
USA,2.0,2018,2.60197032557516,1.85582089300077,857361.617780228,329504.763891076,361119.572748756,194587.5133267,ADB
USA,2.0,2019,2.56324297409269,1.9146480527981,754677.249034291,294422.829463298,351363.08654414,183513.145421506,ADB
USA,2.0,2020,2.69239439334433,1.94432196751591,542684.595225231,201562.072988549,191046.141176946,98258.49029573468,ADB
USA,2.0,2021,2.69212833525436,1.84499641122433,893144.726137769,331761.571111498,275217.593970889,149169.717781866,ADB
USA,2.0,2022,2.78626981588379,1.8970566126921,1274590.49292223,457454.079162084,367602.882065421,193775.388465481,ADB
USA,2.0,2023,2.64756436047106,1.76823914760013,1089289.79719019,411430.903608469,330970.834479278,187175.380054488,ADB
USA,2.0,2024,2.59539135786122,1.7767261864646,1020953.33823861,393371.633586677,334377.698510708,188198.778775286,ADB
USA,3.0,2000,1.59632284866071,2.50729235827231,261816.899658398,164012.499024278,867654.906131898,346052.546791859,ADB
USA,3.0,2007,1.63730204077068,2.64626296198019,315896.216719515,192937.04451185,1146683.35998818,433321.773558787,ADB
USA,3.0,2008,1.66376778853878,2.68207552501337,336251.711210387,202102.549121775,1237678.2240867,461462.853131452,ADB
USA,3.0,2009,1.59268390514192,2.4258656082103,396243.896013521,248790.042226373,1177187.77829749,485265.042842158,ADB
USA,3.0,2010,1.61828632061266,2.53453719284258,374939.103021534,231688.977559661,1248985.84549204,492786.552518986,ADB
USA,3.0,2011,1.65896758606404,2.66176706763706,359485.147003393,216692.086104156,1375893.46937279,516909.795038607,ADB
USA,3.0,2012,1.69205378272091,2.64616495976191,403361.267432734,238385.606623039,1406855.10127949,531658.125125379,ADB
USA,3.0,2013,1.71346835509888,2.66323839287122,392769.034320783,229224.562655035,1428208.32265702,536267.547989677,ADB
USA,3.0,2014,1.74550563828761,2.68030188423863,420263.784328957,240769.078661498,1455403.23920775,542999.744829556,ADB
USA,3.0,2015,1.73168691185128,2.5989735540068,446427.564184783,257799.236761295,1413815.93243873,543990.11881405,ADB
USA,3.0,2016,1.71237099016132,2.52168236030279,476079.647788028,278023.658730155,1389902.59882722,551180.680290095,ADB
USA,3.0,2017,1.63807868679082,2.55535704975716,434979.203785214,265542.313255652,1456382.8159817,569933.198227664,ADB
USA,3.0,2018,1.83085227933336,2.59926052594657,469636.565177609,256512.538165346,1203499.00590947,463015.920834328,ADB
USA,3.0,2019,1.80199028109335,2.57247162430688,492792.658081802,273471.318492795,1290159.68045444,501525.330061537,ADB
USA,3.0,2020,1.54095781621021,2.48336124607323,471159.383267267,305757.482982905,1620655.31784588,652605.544363919,ADB
USA,3.0,2021,1.53845051113773,2.52838959780696,469416.374748893,305122.830634146,1786814.61970953,706700.668781169,ADB
USA,3.0,2022,1.55350818536717,2.60162508550768,454063.017088844,292282.346089813,1953793.62119815,750989.691820598,ADB
USA,3.0,2023,1.53571554912927,2.48798713644297,512584.919561625,333775.952097545,1920620.52846825,771957.579818571,ADB
USA,3.0,2024,1.54012353345745,2.47906574809276,538398.100225463,349581.113806373,1986324.43437438,801239.110298923,ADB
USA,4.0,2000,2.09004213094225,2.46306349784638,99175.97003713828,47451.6606956756,151329.066797059,61439.3688710729,ADB
USA,4.0,2007,2.17647236411541,2.41899546601258,65658.5633743669,30167.4234219154,75547.9310706132,31231.1172683364,ADB
USA,4.0,2008,2.18315635376457,2.34918089701692,62973.7955458822,28845.2979729519,63889.7119491836,27196.590960838,ADB
USA,4.0,2009,1.99318161194854,2.1570654543054,50106.1863187735,25138.7961931826,57965.4532671458,26872.3664140323,ADB
USA,4.0,2010,2.26068675536711,2.29780974256785,55774.1759202261,24671.3419220121,47352.6263265792,20607.7228455223,ADB
USA,4.0,2011,2.16807503361732,2.406317540147,53277.3037555161,24573.5516204094,65134.8836887084,27068.2828022478,ADB
USA,4.0,2012,2.05955422632595,2.4441950479544,52006.4928583618,25251.3345818219,80464.4666317797,32920.6405598122,ADB
USA,4.0,2013,2.13878398750459,2.52316376061245,54497.452634303,25480.5781942886,85160.3009233623,33751.3966603147,ADB
USA,4.0,2014,2.17390202133944,2.47543890595282,58238.497702751,26789.844772704,78419.1485312916,31678.8866583266,ADB
USA,4.0,2015,2.1659644630772,2.4182454448098,56306.0800155509,25995.8466426344,73946.7309754707,30578.6706366718,ADB
USA,4.0,2016,2.16459815654589,2.46904119110592,57298.3002353539,26470.6407801743,82993.819739905,33613.7849943001,ADB
USA,4.0,2017,2.12373498833855,2.23297022734353,49862.0001810362,23478.4473838915,51654.9688147058,23132.8515634342,ADB
USA,4.0,2018,2.1166942999499,2.24905563743599,48619.2705171516,22969.4342344581,54632.22364333,24291.1837012679,ADB
USA,4.0,2019,2.10199686438005,2.20561712829518,48914.0656998531,23270.2848080982,52415.2592957659,23764.4415358163,ADB
USA,4.0,2020,2.17549204969482,2.29641371016127,44486.2166738397,20448.8068251412,45187.7738356369,19677.5405214174,ADB
USA,4.0,2021,2.15970839453298,2.30167059400181,52090.5122593151,24119.234055475,52640.5986809783,22870.6048633373,ADB
USA,4.0,2022,2.19044841161965,2.25530462028641,57667.917795368,26326.9919937204,54382.6041508275,24113.1967990742,ADB
USA,4.0,2023,2.17860870466902,2.24330630734018,57623.8307086529,26449.8303826466,53361.4182589713,23786.9514672922,ADB
USA,4.0,2024,2.13753904964037,2.24610198626791,56947.2109898953,26641.4833448195,55963.9182170481,24916.0183104761,ADB
USA,5.0,2000,1.49368687957586,2.58860162865945,3808.59854160304,2549.79714535921,16664.4904831272,6437.6419680139,ADB
USA,5.0,2007,1.7430240837224,2.65854356805766,2826.03506496752,1621.34022780238,8368.75621611778,3147.87251059874,ADB
USA,5.0,2008,1.70868274486789,2.62025549009581,2647.41591803198,1549.3899765674,7489.16974402792,2858.18301777667,ADB
USA,5.0,2009,1.59074282226548,2.14116744086212,2003.53434839435,1259.49607966232,3519.61256206354,1643.78202979137,ADB
USA,5.0,2010,1.42689658847646,2.08053351520647,1990.80857543161,1395.20172064975,4121.14639336424,1980.81230763315,ADB
USA,5.0,2011,1.68766855026271,2.69625906246718,2234.6619350621,1324.11185520655,8302.91718431926,3079.42115054841,ADB
USA,5.0,2012,1.60178902942438,2.78952998616658,2182.08561704425,1362.28028595526,10400.2002078054,3728.29840847043,ADB
USA,5.0,2013,1.65443000748877,2.8272346090527,2277.0866723557,1376.3572118787,11208.9353193615,3964.62864576959,ADB
USA,5.0,2014,1.75501505191668,2.80451512573331,2537.15219655738,1445.65836844904,10452.1064585186,3726.88539370443,ADB
USA,5.0,2015,1.73247055365508,2.8073250637559,2275.22773583469,1313.28508356724,10084.3594712932,3592.15952633623,ADB
USA,5.0,2016,1.7372913689436,2.79424188549315,2369.86923434072,1364.11731313773,11034.742174061,3949.10055258636,ADB
USA,5.0,2017,1.74054184543902,2.10804446719359,6073.96238225084,3489.6962679566,8845.16688826346,4195.91096199166,ADB
USA,5.0,2018,1.74847858202346,2.31422864336222,6354.53908286662,3634.32480569062,13028.5615439199,5629.7641900203,ADB
USA,5.0,2019,1.73678746350632,2.17624360999467,4817.6554818736,2773.88890874848,7938.45801344734,3647.78004493108,ADB
USA,5.0,2020,1.37128571230472,2.11943668242678,4575.2912205323,3336.4974049373,12870.723204814,6072.70946640258,ADB
USA,5.0,2021,1.31385649903914,2.18966054422887,3116.9478457509,2372.36551178185,10088.5492922997,4607.35766504507,ADB
USA,5.0,2022,1.31357116971472,2.08424213945798,3780.61886064544,2878.12259267726,10417.0629999055,4998.00997335874,ADB
USA,5.0,2023,1.30267417523509,2.20617364543759,3828.68621912575,2939.0973521332,13377.9335873223,6063.86247745647,ADB
USA,5.0,2024,1.26623245881819,2.20995699905582,3690.31442863066,2914.40517333992,13621.3876150915,6163.64373646685,ADB
USA,6.0,2000,2.64640956893105,2.51209774356176,74773.4459689386,28254.6763912819,22447.1774887764,8935.63060844514,ADB
USA,6.0,2007,2.58854996449716,2.57326731110837,76057.0797719661,29382.1177165266,24708.7762103649,9602.10239476531,ADB
USA,6.0,2008,2.5854289240342,2.54099097993656,67356.6382614192,26052.4037753545,21306.3052943864,8385.03775204993,ADB
USA,6.0,2009,2.56368941846355,2.34787030174951,55735.0877556812,21740.1871514857,14237.7750300386,6064.12331184963,ADB
USA,6.0,2010,2.68201720417243,2.45622156619792,58964.464590252,21985.1179546949,14723.1933099727,5994.24478336591,ADB
USA,6.0,2011,2.70704147711103,2.48450880211654,60128.7776811905,22211.9898012646,16029.3714747425,6451.72657914803,ADB
USA,6.0,2012,2.70903152668538,2.50896017500077,64881.6240307292,23950.1177419351,18817.8418874847,7500.25531492499,ADB
USA,6.0,2013,2.74818391441822,2.54495170011131,71951.4560192248,26181.455921394,20238.6629405704,7952.47428062591,ADB
USA,6.0,2014,2.75549990896692,2.54657599623834,78936.8259577724,28647.007282017,22728.1518371015,8924.98471307132,ADB
USA,6.0,2015,2.72693248326117,2.5144572141256,81082.0443341514,29733.7923956168,22827.7339101116,9078.593098292173,ADB
USA,6.0,2016,2.72158117764379,2.4881259873517,85336.9844427622,31355.6638118149,23539.1370654365,9460.588887016553,ADB
USA,6.0,2017,2.71500584758722,2.37837587395144,102424.101826266,37725.1864548609,22458.5714496733,9442.81839369676,ADB
USA,6.0,2018,2.73615358759166,2.40612079284879,109227.716919793,39920.1702035792,26476.198894446,11003.68650366,ADB
