"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"duration",NA,NA,NA,0,0.0649510992620037,3,0.814043911874783,1
"end_month",1,1.36501338008326e-09,1,1,0.0716504219965052,2,0.528359397689262,2
"regionSouth",1,0.0418370303972317,4,1,0.0741853634175303,1,0.511909158938758,3
"total_damage_adjusted",1,0.00552665369784627,3,1,0.0539481267791229,5,0.470170279028172,4
"start_month",NA,NA,NA,0,0.0595277595251876,4,0.468202851105267,5
"pre_shock_price",NA,NA,NA,0,0.0246269846854843,6,NA,NA
"Net.debt",NA,NA,NA,0,0.0225702118732144,7,NA,NA
"EBITDA.margin",NA,NA,NA,0,0.0223790602054108,8,NA,NA
"Cash.flow...Operating.revenue",NA,NA,NA,0,0.0212000936223539,9,NA,NA
"Liquidity.ratio",NA,NA,NA,0,0.0193618386949615,10,NA,NA
"inflation",1,3.43111013127667e-05,2,1,NA,NA,NA,NA
