"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"duration",1,1.76979311047069e-06,7,1,0.0437556168444821,5,1.17915645455739,1
"regionSouth",NA,NA,NA,0,0.0779483475385206,1,0.905608722876599,2
"inflation",1,6.29138797398841e-73,1,1,0.0636212322774289,2,0.588471996133872,3
"end_month",1,5.35188910070511e-17,3,1,0.0300998922023665,8,0.57593997033502,4
"start_month",NA,NA,NA,0,0.0304157172290336,7,0.498562457692872,5
"total_damage_adjusted",1,0.0118440434206551,9,1,0.0229418568541315,9,0.318753329977034,6
"regionMidwest",1,2.05911590969023e-08,5,1,0.0377280781906929,6,0.27426313793346,7
"pre_shock_price",1,6.47167016108411e-09,4,1,0.0122791039248068,12,0.267248106362642,8
"GDPCA",NA,NA,NA,0,0.0537632367213647,3,0.24906858617423,9
"regionWest",NA,NA,NA,0,0.0197614663398974,10,0.142427391131585,10
"cash_and_equivalents",NA,NA,NA,0,0.00638336622240483,13,0.139700397898523,11
"disaster_year",1,1.06949520223199e-45,2,1,0.0510721229764791,4,0.108592688159988,12
"EBITDA.margin",1,1.52809633889959e-06,6,1,0.00484854945435306,19,0.10823177574581,13
"Number.of.employees",NA,NA,NA,0,0.00559003951838909,16,0.107961536444292,14
"assets",NA,NA,NA,0,0.00623834982308983,14,0.0985105874687512,15
"Total.cash...short.term.investments",NA,NA,NA,0,0.00477312687260866,21,0.093696898501189,16
"Net.debt",NA,NA,NA,0,0.0058093638779806,15,0.0927358642454284,17
"Net.inventory",NA,NA,NA,0,0.00472155281997808,23,0.0926330406394009,18
"Net.Income",NA,NA,NA,0,0.00472347044845003,22,0.092486894222759,19
"Liquidity.ratio",NA,NA,NA,0,0.00460135561717554,24,0.0882212703406069,20
"revenue",NA,NA,NA,0,0.00499176300998195,18,0.0803831842165011,21
"operating_cash_flow",NA,NA,NA,0,NA,NA,0.0796729801511695,22
"stockholders_equity",NA,NA,NA,0,0.0054216321747125,17,0.0752960017910594,23
"operating_income_loss",NA,NA,NA,0,0.00443504514276186,25,0.0718093681224609,24
"assets_current",NA,NA,NA,0,0.00481109885436346,20,0.0675470973951401,25
"Cash.flow...Operating.revenue",NA,NA,NA,0,NA,NA,0.0669280273452486,26
"regionNortheast",1,0.0114942078506918,8,1,0.0162626982994469,11,0.0549751818984604,27
