"Model","Feature","VIM","pValue","MultiSplit_Rank"
"Multi-split LASSO + MLE","inflation",1,3.88424398331546e-45,1
"Multi-split LASSO + MLE","EBITDA.margin",1,3.40257985326292e-42,2
"Multi-split LASSO + MLE","disaster_year",1,4.26228224224547e-34,3
"Multi-split LASSO + MLE","Cash.flow...Operating.revenue",1,5.83856020167804e-26,4
"Multi-split LASSO + MLE","regionMidwest",1,4.28529362716305e-20,5
"Multi-split LASSO + MLE","GDPCA",1,6.10856070761079e-13,6
"Multi-split LASSO + MLE","Net.debt",1,3.2849239416334e-08,7
"Multi-split LASSO + MLE","operating_cash_flow",1,3.31511997175163e-05,8
"Multi-split LASSO + MLE","Liquidity.ratio",1,4.5964750621038e-05,9
"Multi-split LASSO + MLE","Net.inventory",1,0.000192004771971242,10
"Multi-split LASSO + MLE","start_month",1,0.000428019791035558,11
"Multi-split LASSO + MLE","end_month",1,0.000620691605101869,12
"Multi-split LASSO + MLE","Net.Income",1,0.00218059282518084,13
"Multi-split LASSO + MLE","total_damage_adjusted",1,0.0146806496673811,14
"Multi-split LASSO + MLE","assets",0.8,0.037943365849565,15
