"Model","Feature","VIM","pValue","MultiSplit_Rank"
"Multi-split LASSO + MLE","inflation",1,1.8259409119292e-261,1
"Multi-split LASSO + MLE","disaster_year",1,1.0490588376992e-185,2
"Multi-split LASSO + MLE","Cash.flow...Operating.revenue",1,2.40005668708828e-22,3
"Multi-split LASSO + MLE","EBITDA.margin",1,3.84190819008095e-20,4
"Multi-split LASSO + MLE","Net.Income",1,8.32858434342562e-16,5
"Multi-split LASSO + MLE","regionMidwest",1,3.67638696330769e-13,6
"Multi-split LASSO + MLE","total_damage_adjusted",1,4.00708852300486e-10,7
"Multi-split LASSO + MLE","regionWest",1,8.57661317738559e-10,8
"Multi-split LASSO + MLE","Net.debt",1,2.99866784549812e-08,9
"Multi-split LASSO + MLE","duration",1,9.63540688840416e-06,10
"Multi-split LASSO + MLE","regionNortheast",1,5.14396593911888e-05,11
"Multi-split LASSO + MLE","Net.inventory",1,0.000146956740540071,12
"Multi-split LASSO + MLE","operating_income_loss",1,0.015386090497975,13
"Multi-split LASSO + MLE","cash_and_equivalents",0.9,0.000887645686939509,14
"Multi-split LASSO + MLE","end_month",0.9,0.0387340517332056,15
