"Model","Feature","RF_SHAP","RF_SHAP_Rank"
"Random Forest","end_month",0.0502362693022991,1
"Random Forest","regionSouth",0.0466760553533031,2
"Random Forest","start_month",0.0458870547345667,3
"Random Forest","duration",0.0430221352003565,4
"Random Forest","total_damage_adjusted",0.0321270301752752,5
"Random Forest","inflation",0.0304440544247265,6
"Random Forest","disaster_year",0.0213175317977919,7
"Random Forest","GDPCA",0.0189390632465119,8
"Random Forest","regionMidwest",0.0166524835062693,9
"Random Forest","regionWest",0.0125008770010987,10
"Random Forest","pre_shock_price",0.0107503772955539,11
"Random Forest","regionNortheast",0.0096090846514721,12
"Random Forest","Net.debt",0.00760214717263519,13
"Random Forest","Net.Income",0.007600457607343,14
"Random Forest","stockholders_equity",0.00752622635283357,15
"Random Forest","Number.of.employees",0.00741375284084288,16
"Random Forest","Liquidity.ratio",0.00739022310380153,17
"Random Forest","assets",0.00737338560629428,18
"Random Forest","cash_and_equivalents",0.00733226679919353,19
"Random Forest","Cash.flow...Operating.revenue",0.00733108560119394,20
"Random Forest","operating_income_loss",0.00730846703015746,21
"Random Forest","EBITDA.margin",0.00729686942880859,22
"Random Forest","Total.cash...short.term.investments",0.00717674186613496,23
"Random Forest","Net.inventory",0.00704853861062015,24
"Random Forest","revenue",0.00702409969883058,25
"Random Forest","operating_cash_flow",0.00681261107206437,26
"Random Forest","assets_current",0.00660540057366297,27
