"Model","Feature","XGB_SHAP","XGB_SHAP_Rank"
"XGBoost","duration",1.17581949635087,1
"XGBoost","regionSouth",0.839438812354292,2
"XGBoost","inflation",0.626747929332271,3
"XGBoost","end_month",0.567846594861084,4
"XGBoost","start_month",0.427121294854697,5
"XGBoost","total_damage_adjusted",0.366934174226226,6
"XGBoost","pre_shock_price",0.352221068138698,7
"XGBoost","regionMidwest",0.303928558289886,8
"XGBoost","GDPCA",0.252624909877312,9
"XGBoost","cash_and_equivalents",0.214975200887639,10
"XGBoost","EBITDA.margin",0.208051081337467,11
"XGBoost","operating_income_loss",0.206172858952772,12
"XGBoost","Number.of.employees",0.169284367560488,13
"XGBoost","assets",0.156140803552932,14
"XGBoost","Net.inventory",0.155740329767456,15
"XGBoost","Total.cash...short.term.investments",0.144877879967784,16
"XGBoost","disaster_year",0.143023392526048,17
"XGBoost","Net.debt",0.129187924051744,18
"XGBoost","regionWest",0.101730459196026,19
"XGBoost","regionNortheast",0.0772323090228363,20
