"Model","Feature","XGB_SHAP","XGB_SHAP_Rank"
"XGBoost","inflation",1.27619270673933,1
"XGBoost","duration",0.992725999174188,2
"XGBoost","start_month",0.664181954598668,3
"XGBoost","regionSouth",0.654031328325812,4
"XGBoost","regionMidwest",0.646563926640756,5
"XGBoost","pre_shock_price",0.542170200667309,6
"XGBoost","total_damage_adjusted",0.374085939982448,7
"XGBoost","cash_and_equivalents",0.36618602014689,8
"XGBoost","end_month",0.303988619939463,9
"XGBoost","GDPCA",0.251090222569206,10
"XGBoost","disaster_year",0.215720107956821,11
"XGBoost","assets_current",0.214548702106655,12
"XGBoost","EBITDA.margin",0.208526279475765,13
"XGBoost","Liquidity.ratio",0.201591064316466,14
"XGBoost","stockholders_equity",0.19486994315713,15
"XGBoost","Net.inventory",0.193266403991764,16
"XGBoost","operating_income_loss",0.187866183990811,17
"XGBoost","assets",0.178781635701747,18
"XGBoost","revenue",0.171372581390667,19
"XGBoost","Total.cash...short.term.investments",0.160123033644023,20
"XGBoost","Net.debt",0.159421605856346,21
"XGBoost","Net.Income",0.153979071947729,22
"XGBoost","Number.of.employees",0.129478658939579,23
"XGBoost","operating_cash_flow",0.115532357140329,24
"XGBoost","Cash.flow...Operating.revenue",0.109767548820682,25
"XGBoost","regionWest",0.0826186407268183,26
"XGBoost","regionNortheast",0.0379501995284786,27
